token_1,ws,token_2,count
final,1_SP,void,7
{,1_NL_8_ID,{,9
",",1_NL,{,152
},0_SP,},33
+,1_NL_16_ID,String,2
;,1_NL_16_DD,Comment,3
",",1_NL_18_ID,boolean,1
),1_NL_18_DD,{,1
final,1_SP,<,1
Identifier,1_SP,private,4
),1_NL_8_ID,+,12
&&,1_NL,!,2
+,1_NL_8_ID,Identifier,2
;,2_NL_4_DD,int,4
",",1_NL_21_ID,Identifier,2
),1_NL_21_DD,{,1
),1_NL,protected,9
protected,1_SP,char,1
},3_NL,protected,1
new,1_SP,int,36
+=,1_SP,(,5
Identifier,1_SP,-=,36
-=,1_SP,Identifier,25
{,1_NL_4_ID,--,2
public,1_SP,char,4
},2_NL,switch,10
-,1_SP,(,10
Identifier,1_SP,%,17
%,1_SP,Identifier,18
;,2_NL_4_DD,char,1
Identifier,1_NL,Comment,2
",",1_NL_24_ID,int,6
",",1_NL_19_ID,int,6
),1_NL_19_DD,{,4
Identifier,1_NL_24_DD,{,2
Identifier,1_NL_19_DD,{,2
+,1_NL_8_ID,new,1
=,1_SP,++,1
],1_SP,-,1
++,1_SP,<,1
[,0_SP,++,1
>=,1_SP,String,39
>=,1_SP,HexInteger,5
Identifier,1_NL_8_ID,||,1
<,1_SP,String,11
>,1_SP,String,9
},2_NL,try,40
.,1_NL,Identifier,5
;,2_NL_16_DD,Identifier,4
;,2_NL_16_DD,Comment,2
Comment,2_NL_16_ID,Identifier,1
--,1_SP,==,1
",",1_NL_29_ID,int,1
),1_NL_29_DD,{,4
(,1_NL_8_ID,!,1
Identifier,0_SP,Comment,1
;,1_NL_4_DD,Annotation,2
;,3_NL,import,12
private,1_SP,byte,5
+,1_SP,new,1
Comment,2_NL_4_ID,protected,3
",",1_NL,boolean,34
+,1_NL_8_ID,(,2
),1_SP,Null,25
),1_NL_4_ID,new,7
;,2_NL_8_DD,Comment,2
;,2_NL_4_DD,else,7
Comment,3_NL,Identifier,1
),1_NL_8_DD,public,1
Comment,1_NL_8_ID,return,3
static,1_SP,interface,6
{,1_NL_4_ID,{,14
),0_SP,::,2
Comment,1_NL_8_DD,Comment,3
},1_NL_16_DD,Comment,1
Comment,2_NL,protected,4
Comment,2_NL_16_ID,if,1
;,1_NL_28_DD,},1
;,1_NL,new,19
final,1_SP,double,7
*,1_SP,(,5
private,1_SP,enum,3
Comment,1_NL,new,3
},2_NL,new,2
synchronized,1_SP,Identifier,43
:,1_NL_4_ID,Comment,1
Comment,1_NL,break,6
),1_NL_4_DD,Identifier,1
Comment,1_NL_4_DD,default,1
;,2_NL_4_DD,Annotation,6
),1_SP,final,6
",",1_NL_29_ID,Identifier,5
),1_NL_37_DD,{,1
),1_NL_8_DD,.,14
Identifier,1_NL_8_ID,Identifier,1
=,1_NL_8_ID,(,1
:,1_NL_4_ID,try,4
},1_NL_4_DD,case,2
},1_NL_4_DD,default,1
(,1_NL_8_ID,Null,1
",",1_NL,Null,32
Null,1_NL_8_DD,),5
throw,1_SP,(,6
Comment,2_NL_8_ID,Comment,1
Comment,2_NL_8_ID,public,1
},1_NL_8_DD,Comment,3
Comment,1_NL_8_ID,if,1
Comment,2_NL_8_DD,Comment,1
;,2_NL,{,1
Comment,2_NL,},2
=,1_NL_8_DD,Comment,1
Comment,1_NL_16_ID,String,1
Comment,2_NL,try,2
},3_NL_4_DD,Comment,1
;,2_NL_4_DD,this,13
>=,1_SP,-,4
>,1_SP,void,24
Comment,2_NL_4_DD,final,2
Comment,2_NL_4_DD,Annotation,1
Comment,2_NL,void,1
;,1_NL_12_DD,case,1
;,1_NL_4_DD,super,1
",",1_NL_28_ID,Identifier,3
",",1_NL_62_ID,Identifier,3
),1_NL_62_DD,{,1
},1_NL_8_DD,),1
+,1_NL_16_ID,Identifier,1
?,1_NL_8_ID,Identifier,1
Comment,1_NL_4_ID,public,3
=,1_NL_8_ID,new,1
;,3_NL_8_DD,return,1
{,0_SP,{,18
;,3_NL_4_DD,final,1
>,1_SP,boolean,1
.,0_SP,new,2
",",1_NL_34_ID,Identifier,6
),1_NL_34_DD,{,2
{,2_NL_4_ID,final,5
",",1_NL_25_ID,Identifier,6
),1_NL_25_DD,{,1
protected,1_SP,<,6
:,1_SP,this,15
Identifier,1_NL_8_ID,&&,3
),1_NL_4_DD,continue,2
;,1_NL_4_DD,synchronized,3
synchronized,1_SP,(,135
;,1_NL,synchronized,44
{,1_NL_4_ID,<,1
default,1_SP,<,1
!,0_SP,this,4
else,1_SP,return,3
Identifier,1_SP,/,44
/,1_SP,DecimalInteger,36
.,0_SP,this,110
),1_NL_8_ID,throws,6
&&,1_NL,Identifier,29
",",1_NL_66_ID,Identifier,1
),1_NL_66_DD,{,1
",",1_NL_56_ID,Identifier,3
),1_NL_56_DD,{,2
",",1_NL_61_ID,Identifier,2
),1_NL_61_DD,{,1
",",1_NL_67_ID,Identifier,1
),1_NL_67_DD,{,1
",",1_NL_59_ID,Identifier,1
),1_NL_59_DD,{,1
class,1_SP,||,9
||,1_NL_8_ID,(,1
(,0_SP,DecimalFloatingPoint,21
:,1_SP,-,14
;,3_NL_8_DD,public,1
||,1_NL,Identifier,19
/,1_SP,(,19
Null,1_SP,!=,4
&&,1_SP,Null,3
||,1_NL_7_ID,Identifier,1
;,1_NL_11_DD,},1
},1_NL_8_ID,:,1
",",1_NL_31_ID,Identifier,3
),1_NL_31_DD,{,1
{,1_NL_4_ID,synchronized,7
&&,1_SP,String,5
),1_NL,default,1
Identifier,1_NL_8_ID,{,5
",",2_NL,Identifier,13
Comment,2_NL,int,1
protected,1_SP,byte,2
{,1_NL_4_ID,byte,8
{,0_SP,new,47
),1_NL_18_DD,throws,1
),0_SP,Identifier,2
Comment,2_NL_4_ID,static,1
Null,1_NL_8_ID,?,1
{,1_NL_4_ID,abstract,1
{,1_NL_4_ID,default,3
",",1_NL_30_ID,Identifier,3
),1_NL_30_DD,{,1
String,1_NL_8_DD,),1
},2_NL,enum,3
Identifier,1_NL_8_ID,+,9
;,2_NL_22_DD,Identifier,1
;,1_NL_25_DD,},1
},1_NL_12_DD,Comment,1
Comment,1_NL_12_ID,Comment,1
Comment,1_NL,else,1
),0_SP,Comment,1
Comment,1_NL_8_ID,else,1
public,1_SP,default,1
Comment,2_NL,if,8
;,1_NL_8_DD,final,1
),1_NL,void,2
private,1_SP,Comment,1
Comment,1_SP,Identifier,4
==,1_SP,boolean,2
;,1_NL,(,4
boolean,0_SP,),2
;,1_NL,byte,59
new,1_SP,byte,99
Comment,1_NL_12_ID,return,1
Comment,1_NL,try,34
{,1_NL_4_ID,enum,1
;,1_NL_12_DD,if,1
<,1_SP,HexInteger,4
HexInteger,1_SP,||,2
>,1_SP,HexInteger,2
HexInteger,0_SP,),198
+,1_NL,Identifier,1
",",1_NL_8_DD,},6
},2_NL,while,4
?,1_SP,-,1
else,1_SP,Identifier,9
(,0_SP,-,78
{,2_NL_4_ID,void,9
),1_NL_4_ID,Comment,3
),1_NL_8_ID,?,2
:,1_NL,if,2
break,1_SP,Identifier,5
},1_NL_4_DD,Identifier,1
Comment,3_NL_8_ID,Identifier,1
;,2_NL,byte,22
",",1_NL_24_ID,boolean,1
",",1_NL_34_ID,boolean,1
",",1_NL_8_ID,DecimalInteger,1
Null,1_NL_8_ID,||,1
],1_SP,instanceof,7
||,1_NL,String,3
;,2_NL,abstract,6
Identifier,1_NL,+,34
},3_NL,Annotation,34
;,1_NL_8_DD,for,1
;,2_NL_4_DD,boolean,3
",",2_NL_24_DD,Identifier,1
),1_NL_32_DD,),1
Comment,2_NL_4_ID,int,1
(,0_SP,Comment,1
Comment,1_NL_8_ID,new,1
),1_NL_4_DD,),96
class,1_NL_4_DD,},2
Boolean,1_NL_4_DD,),25
;,2_NL_6_DD,},1
Identifier,1_SP,class,1
Comment,1_NL,(,1
{,1_NL_2_ID,continue,17
;,3_NL,static,1
class,1_SP,},1
=,1_NL_4_ID,String,2
Comment,1_NL_6_DD,},9
;,2_NL_5_DD,Identifier,1
String,1_NL_5_ID,+,1
{,2_NL_2_ID,public,5
{,2_NL_2_ID,Annotation,19
String,1_NL_4_DD,),4
},2_NL_2_DD,},11
;,1_NL,class,4
Identifier,1_SP,...,1
{,1_NL_1_DD,try,1
{,1_NL_1_ID,Identifier,1
{,2_NL_2_ID,private,21
{,1_NL_2_DD,for,7
{,1_NL,case,1
:,1_NL_2_ID,if,5
;,2_NL_2_DD,case,15
;,2_NL_2_DD,default,4
Null,1_NL_4_ID,?,34
Null,1_NL_4_ID,&&,6
;,1_NL_8_DD,int,2
{,1_NL_1_ID,continue,1
;,1_NL_1_DD,},2
},1_NL,switch,3
},1_NL_2_DD,Comment,1
Identifier,1_NL_4_ID,&&,17
;,2_NL_2_DD,},2
Identifier,1_NL,class,3
Identifier,1_NL,enum,1
Identifier,1_NL,interface,1
class,1_NL_4_DD,),539
String,12_SP,Comment,1
Comment,1_NL,+,10
String,1_SP,Comment,2
String,7_SP,Comment,2
String,3_SP,Comment,2
String,13_SP,Comment,1
String,2_SP,Comment,1
String,5_SP,Comment,1
;,2_NL_4_DD,public,23
{,1_NL_2_ID,class,1
=,1_NL_4_ID,(,22
),1_SP,&,44
&,1_SP,Identifier,55
DecimalInteger,1_SP,<<,21
<<,1_SP,DecimalInteger,38
Identifier,1_SP,&,132
&,1_SP,~,6
~,0_SP,Identifier,5
Identifier,1_SP,final,3
),1_SP,Annotation,1
Comment,1_NL,enum,1
(,1_NL_6_ID,Identifier,1
;,1_NL_6_DD,if,1
abstract,1_SP,<,2
{,1_NL_2_DD,if,42
Identifier,1_NL_4_ID,=,13
),1_NL_4_ID,+,11
",",1_NL_4_ID,Boolean,3
{,1_NL_2_ID,synchronized,42
Comment,1_NL,synchronized,11
),1_SP,break,9
},2_NL,synchronized,27
;,0_SP,),5
=,1_NL_4_ID,!,1
Identifier,1_NL_4_ID,.,66
),1_NL_4_DD,||,1
:,1_NL_2_ID,Comment,16
;,1_NL_4_DD,boolean,3
Identifier,1_NL_4_ID,||,3
},1_NL_1_DD,if,1
),1_NL,throws,6
",",1_NL_4_DD,String,1
%,1_SP,DecimalInteger,6
DecimalInteger,1_SP,!=,5
static,1_SP,{,70
{,2_NL_22_DD,this,1
volatile,1_SP,Identifier,80
volatile,1_SP,double,4
=,1_SP,DecimalFloatingPoint,9
DecimalFloatingPoint,0_SP,;,14
",",1_NL,double,10
{,2_NL,this,15
",",1_NL,-,408
volatile,1_SP,long,15
{,2_NL,Identifier,95
Identifier,1_NL_4_DD,),283
{,2_NL,return,10
",",1_NL_64_ID,Identifier,1
{,2_NL_60_DD,Identifier,1
{,2_NL_57_DD,Identifier,1
},2_NL,long,21
/,1_SP,Identifier,22
;,2_NL,assert,8
assert,1_SP,(,34
),1_SP,%,8
?,1_NL_4_ID,Identifier,42
:,1_NL,Identifier,16
;,2_NL_37_DD,Comment,1
",",1_NL_48_ID,Identifier,3
{,2_NL_44_DD,if,1
",",1_NL_47_ID,Identifier,3
{,2_NL_43_DD,return,1
",",1_NL_54_ID,Identifier,1
{,2_NL_50_DD,Identifier,1
",",1_NL_51_ID,Identifier,2
;,3_NL_51_DD,Comment,1
;,3_NL,Identifier,105
;,3_NL_4_DD,},89
{,2_NL,super,92
&&,1_NL_4_ID,Identifier,24
{,2_NL,int,4
;,2_NL,long,29
{,3_NL,},64
{,3_NL_4_ID,Identifier,26
",",1_NL,DecimalInteger,87
",",1_NL_38_ID,Identifier,5
{,2_NL_34_DD,boolean,1
boolean,0_SP,[,5
",",1_NL_50_ID,Identifier,1
{,2_NL_46_DD,try,1
Comment,2_NL,assert,3
DecimalFloatingPoint,0_SP,",",27
->,1_NL_4_ID,Identifier,16
),1_NL_12_DD,),4
),1_SP,|,26
|,1_NL_4_ID,Identifier,1
|,1_NL,Identifier,1
",",1_NL,Boolean,64
},1_NL_4_DD,),4
DecimalFloatingPoint,1_SP,/,2
(,1_NL_4_ID,double,1
{,1_NL_4_ID,double,3
;,2_NL_4_DD,long,8
*,1_SP,DecimalFloatingPoint,5
->,1_NL_4_ID,!,1
;,2_NL,synchronized,17
Null,1_NL_4_DD,),10
",",1_NL_23_ID,long,1
",",1_NL,long,11
{,2_NL_19_DD,if,1
",",1_NL_33_ID,Identifier,5
{,2_NL_29_DD,Identifier,3
;,3_NL_4_DD,Identifier,1
},3_NL,default,2
default,1_SP,int,12
&&,1_NL,(,2
||,1_NL_4_ID,Identifier,17
?,1_NL_4_ID,(,4
{,2_NL,Comment,2
protected,1_SP,volatile,17
volatile,1_SP,byte,2
Comment,2_NL,char,2
Comment,2_NL,long,3
{,2_NL_30_DD,Identifier,3
{,2_NL,throw,7
|,1_SP,HexInteger,4
~,0_SP,HexInteger,1
&,1_SP,HexInteger,122
==,1_SP,HexInteger,42
{,2_NL_29_DD,this,1
{,2_NL,if,3
},2_NL,byte,4
],1_SP,&,12
),1_SP,<<,7
|,1_NL_4_ID,(,1
|,1_NL,(,2
;,2_NL_4_DD,byte,7
),1_NL_4_DD,},6
;,1_NL_8_DD,case,3
;,2_NL_8_DD,default,3
synchronized,1_SP,boolean,20
{,2_NL_4_ID,default,14
volatile,1_SP,int,4
",",1_SP,DecimalFloatingPoint,21
-,0_SP,DecimalFloatingPoint,1
",",1_NL_41_ID,Identifier,6
{,2_NL_37_DD,Identifier,4
->,1_NL_4_ID,new,5
;,2_NL_12_DD,Identifier,1
),1_NL_12_DD,.,1
;,2_NL_8_DD,try,1
&&,1_NL_4_ID,(,5
>,1_NL_4_ID,Identifier,4
{,2_NL_11_DD,this,3
:,1_NL,default,3
||,1_NL_4_ID,(,4
{,2_NL_15_DD,this,1
?,1_NL_4_ID,new,2
:,1_NL,new,7
:,1_SP,{,16
},2_NL,case,1
",",1_NL_49_ID,Identifier,6
{,2_NL_45_DD,return,2
{,2_NL_45_DD,Identifier,2
",",1_NL_57_ID,Identifier,2
{,2_NL_53_DD,if,1
Comment,1_NL,.,35
||,1_NL,(,3
),2_NL_4_DD,Comment,2
),2_NL,Comment,2
(,1_NL_4_ID,this,3
;,3_NL,for,2
&&,1_NL_4_ID,!,4
{,1_NL,Identifier,2
",",1_NL,DecimalFloatingPoint,4
{,1_NL,throw,3
;,2_NL,double,5
Comment,2_NL,for,3
],1_NL_4_DD,),11
{,2_NL_4_ID,super,1
Comment,2_NL,new,1
",",1_NL_24_ID,Annotation,2
{,2_NL_20_DD,this,2
",",1_NL_19_ID,Annotation,4
{,2_NL_15_DD,super,4
(,1_NL_4_ID,Boolean,1
",",2_NL,Annotation,3
",",2_NL_4_DD,Annotation,3
{,2_NL_4_DD,Identifier,3
{,0_SP,Null,1
Null,0_SP,},1
{,2_NL_34_DD,Identifier,3
{,2_NL_25_DD,this,2
;,2_NL_26_DD,Comment,1
Comment,1_NL,double,5
{,2_NL_13_DD,Identifier,2
{,0_SP,DecimalInteger,62
DecimalInteger,0_SP,},79
",",5_SP,Comment,1
Comment,1_NL,Null,2
",",7_SP,Comment,1
",",3_SP,Comment,3
Comment,1_NL,Boolean,1
Boolean,8_SP,Comment,1
Comment,1_NL_4_DD,),5
",",1_NL_18_ID,Identifier,1
;,2_NL_18_DD,Identifier,1
instanceof,1_SP,int,5
{,1_NL_4_ID,String,5
String,1_NL_4_DD,},5
",",1_NL_4_DD,},7
",",1_SP,{,16
",",1_NL_69_ID,Identifier,2
{,2_NL_65_DD,Identifier,1
{,2_NL_21_DD,Identifier,3
{,2_NL_22_DD,Identifier,4
",",1_NL_44_ID,Identifier,1
{,2_NL_40_DD,return,1
",",1_NL_58_ID,Identifier,2
{,2_NL_54_DD,return,1
{,2_NL_44_DD,return,1
{,2_NL_52_DD,return,1
",",1_NL_72_ID,Identifier,1
{,2_NL_68_DD,return,2
",",1_NL_72_ID,double,1
",",1_NL_78_ID,boolean,1
{,2_NL_74_DD,return,1
",",1_NL_70_ID,Identifier,2
{,2_NL_66_DD,return,2
",",1_NL_76_ID,Identifier,1
{,2_NL_72_DD,return,1
{,2_NL_58_DD,return,1
(,0_SP,HexInteger,59
{,1_NL_4_ID,short,2
{,2_NL_33_DD,this,1
Identifier,1_SP,<<,11
|,1_SP,(,9
;,3_NL,if,1
&,1_SP,DecimalInteger,5
",",1_NL_53_ID,Identifier,4
{,2_NL_49_DD,Identifier,2
",",1_NL_55_ID,Identifier,2
{,2_NL_51_DD,Identifier,1
",",1_NL_27_ID,Identifier,4
{,2_NL_23_DD,int,2
",",2_NL_4_DD,Identifier,26
{,2_NL_4_ID,long,1
;,2_NL_49_DD,Comment,2
;,2_NL_51_DD,},1
{,2_NL,(,1
},2_NL,super,5
{,2_NL_13_DD,this,2
+,1_NL_4_ID,String,5
",",1_NL_4_ID,(,5
static,1_SP,volatile,4
synchronized,1_SP,int,17
",",1_NL_32_ID,Annotation,1
{,2_NL_28_DD,Identifier,2
;,2_NL_41_DD,Comment,1
|=,1_SP,HexInteger,13
HexInteger,1_SP,|,5
DecimalInteger,1_SP,|,2
|,1_SP,DecimalInteger,1
Identifier,1_SP,^=,9
^=,1_SP,DecimalInteger,2
;,2_NL,break,2
^=,1_SP,HexInteger,7
",",1_NL_65_ID,Identifier,4
;,2_NL_65_DD,Comment,2
",",1_NL_65_ID,double,1
",",1_NL_71_ID,boolean,1
;,2_NL_71_DD,Comment,1
",",1_NL_63_ID,Identifier,2
;,2_NL_63_DD,Comment,2
{,2_NL_61_DD,Identifier,3
implements,1_NL_4_ID,Identifier,1
{,2_NL,private,1
(,1_NL_4_ID,DecimalInteger,6
{,2_NL_37_DD,if,1
{,2_NL_31_DD,this,1
{,2_NL_4_ID,int,1
String,1_SP,<<,12
|,1_SP,String,6
-,1_NL_4_ID,(,1
%,1_NL_4_ID,Identifier,1
;,2_NL_12_DD,int,1
+,1_NL_4_ID,Identifier,1
;,2_NL_4_DD,assert,1
+,1_NL_4_ID,(,2
{,2_NL_4_ID,return,1
{,1_NL_21_DD,super,2
",",1_NL_25_ID,int,1
{,2_NL_21_DD,this,1
Identifier,1_SP,*=,1
*=,1_SP,Identifier,1
",",1_NL_26_ID,byte,1
{,2_NL_30_DD,this,1
;,2_NL,(,1
",",1_NL_43_ID,Identifier,3
{,2_NL_39_DD,byte,1
Comment,1_NL,byte,3
{,2_NL_23_DD,this,1
Identifier,1_SP,long,10
",",1_NL_26_ID,Annotation,1
",",1_SP,Comment,25
),2_SP,Comment,3
synchronized,1_SP,<,3
{,2_NL_19_DD,this,1
",",1_NL_46_ID,Identifier,1
{,2_NL_42_DD,Identifier,1
:,1_NL_4_DD,Identifier,2
;,2_NL_8_DD,byte,1
",",1_NL_20_ID,Annotation,3
{,2_NL_16_DD,Identifier,2
),6_SP,Comment,3
DecimalFloatingPoint,1_NL_4_DD,),1
Identifier,1_SP,byte,2
",",1_NL_20_ID,Identifier,3
",",1_NL_21_ID,Annotation,2
{,2_NL_17_DD,super,2
{,2_NL_16_DD,this,2
},2_NL,this,20
DecimalInteger,1_SP,>,4
private,1_SP,synchronized,4
{,2_NL_23_DD,if,1
{,2_NL_27_DD,Identifier,1
",",1_NL_22_ID,int,1
{,2_NL_18_DD,this,2
",",1_NL,byte,1
{,2_NL_30_DD,int,1
{,2_NL_26_DD,switch,1
",",1_NL_39_ID,Identifier,1
{,2_NL_35_DD,Identifier,1
{,2_NL_39_DD,Identifier,2
",",1_NL_45_ID,Identifier,1
{,2_NL_41_DD,Identifier,1
{,2_NL_44_DD,Identifier,1
{,2_NL_43_DD,Identifier,1
",",1_NL_42_ID,Identifier,2
{,2_NL_38_DD,Identifier,1
],1_SP,>,2
",",1_NL_22_ID,long,1
",",1_NL_32_ID,Identifier,1
{,2_NL,try,1
instanceof,1_SP,boolean,1
instanceof,1_SP,short,1
instanceof,1_SP,long,1
instanceof,1_SP,float,1
instanceof,1_SP,double,1
{,2_NL_19_DD,super,1
{,2_NL_22_DD,super,1
{,2_NL_24_DD,super,1
{,2_NL_27_DD,super,1
",",1_NL_10_ID,Identifier,1
;,2_NL_10_DD,Comment,1
{,2_NL_16_DD,super,2
<,1_SP,DecimalFloatingPoint,1
byte,0_SP,),36
),1_SP,HexInteger,11
short,0_SP,),6
),1_SP,DecimalInteger,13
{,0_SP,HexInteger,3
HexInteger,0_SP,",",272
",",1_SP,HexInteger,244
HexInteger,0_SP,},4
",",2_NL,{,4
Boolean,0_SP,},1
DecimalFloatingPoint,0_SP,},2
;,3_NL_4_DD,try,1
{,1_NL_34_DD,try,1
;,2_NL_8_DD,case,6
",",1_NL_52_ID,Identifier,1
{,1_NL_48_DD,switch,1
{,1_NL_47_DD,switch,1
",",1_NL_36_ID,Identifier,1
{,2_NL_32_DD,boolean,1
",",2_NL_4_DD,Comment,1
return,1_SP,DecimalFloatingPoint,1
new,1_NL_4_DD,),158
-=,1_SP,DecimalInteger,10
protected,1_SP,synchronized,4
;,2_NL_62_DD,},1
;,2_NL_62_DD,Comment,1
;,2_NL_57_DD,Comment,1
;,3_NL,interface,1
},2_NL_38_DD,Comment,1
},2_NL_33_DD,Comment,1
;,2_NL_69_DD,Comment,1
;,2_NL_59_DD,},1
{,2_NL_4_ID,static,2
{,2_NL_38_DD,int,1
(,1_NL_4_ID,boolean,3
;,2_NL_53_DD,Comment,3
",",1_NL_53_ID,double,2
{,2_NL_33_DD,assert,1
;,2_NL_4_DD,super,1
},2_NL,char,1
),9_SP,Comment,2
),8_SP,Comment,3
),7_SP,Comment,1
),5_SP,Comment,2
{,2_NL_24_DD,this,1
{,2_NL_49_DD,return,1
",",1_NL_38_ID,int,1
;,1_NL,super,18
{,1_NL_2_ID,long,42
},2_NL,class,6
;,1_SP,),25
},1_NL,byte,3
",",1_NL_4_ID,final,4
Comment,1_NL,String,6
DecimalInteger,1_NL_4_ID,?,2
{,1_NL_4_DD,},4
",",2_SP,Identifier,2
{,1_NL_2_ID,new,42
String,1_NL,&&,2
<=,1_SP,(,1
DecimalInteger,1_NL,:,1
==,1_SP,!,1
Identifier,1_NL,&&,6
Comment,1_NL_2_ID,throw,1
Comment,1_NL_2_ID,int,3
Comment,1_NL_2_ID,Identifier,18
{,2_SP,Comment,2
DecimalInteger,1_NL_4_ID,||,2
Comment,1_NL_2_ID,if,4
<<,1_SP,Identifier,12
Comment,1_NL,while,6
Identifier,1_SP,>>>=,1
>>>=,1_SP,DecimalInteger,1
{,1_NL_2_ID,byte,20
;,2_NL_2_ID,Comment,1
Comment,2_NL_2_DD,final,1
",",1_NL_4_ID,int,25
",",1_NL_4_ID,new,11
Null,1_NL_4_ID,||,2
synchronized,1_SP,long,3
new,1_SP,boolean,1
new,1_SP,long,1
Identifier,1_NL_2_DD,},4
?,1_SP,this,2
this,1_NL,:,1
;,2_NL,enum,2
{,2_NL_2_DD,Comment,2
{,1_NL_2_DD,final,3
Comment,1_NL,interface,1
;,1_SP,(,5
",",1_NL_4_ID,DecimalInteger,3
},2_NL,interface,3
throws,1_NL_4_ID,Identifier,1
private,1_SP,transient,1
{,1_NL_2_ID,(,5
this,1_NL_4_ID,+,1
(,1_NL_4_ID,Null,3
;,2_NL_4_DD,while,1
},1_NL,long,10
Comment,1_NL,do,1
do,1_SP,{,3
},1_SP,while,3
;,2_NL,short,1
},2_NL,short,1
{,1_NL_2_ID,short,1
:,1_SP,Comment,9
Comment,1_NL_2_ID,break,2
Comment,1_NL_2_DD,default,1
:,1_NL_2_ID,break,1
},1_NL,short,1
;,1_NL,short,1
DecimalInteger,1_NL_4_ID,|,1
DecimalInteger,1_NL,|,1
;,2_NL_4_DD,void,1
",",1_NL_4_ID,long,4
Comment,1_NL,char,2
(,0_SP,;,13
;,1_SP,!,1
Comment,1_NL_4_DD,Identifier,4
{,1_NL_2_DD,try,4
=,1_SP,BinaryInteger,8
BinaryInteger,0_SP,;,8
++,0_SP,",",2
],1_SP,^,1
abstract,1_SP,long,1
(,1_NL_4_ID,final,2
[,0_SP,HexInteger,2
HexInteger,0_SP,],4
],1_NL_4_ID,=,1
Comment,1_NL_2_ID,case,1
:,1_NL,synchronized,1
==,1_SP,(,2
;,2_NL_4_DD,synchronized,1
Identifier,1_SP,Comment,4
},1_NL,synchronized,3
{,1_NL_2_DD,synchronized,1
DecimalInteger,1_SP,<,4
Comment,1_NL_2_DD,case,2
String,1_NL,:,2
:,1_NL_2_ID,continue,2
DecimalInteger,1_NL,||,3
{,1_NL_2_DD,break,1
Comment,2_NL_2_DD,default,1
;,1_NL_4_DD,long,5
Boolean,1_SP,Comment,5
{,2_NL_2_ID,if,1
DecimalInteger,1_SP,>=,2
],1_SP,>=,1
],1_SP,<=,1
Comment,1_NL_2_ID,return,1
{,2_NL_2_ID,int,1
return,1_SP,HexInteger,3
!=,1_SP,HexInteger,1
Comment,1_NL_2_ID,Comment,1
{,1_NL_4_ID,HexInteger,1
",",1_NL,HexInteger,24
HexInteger,1_NL_4_DD,},1
{,1_NL_4_ID,DecimalInteger,1
DecimalInteger,1_NL_4_DD,},1
Identifier,1_SP,<<=,2
<<=,1_SP,Identifier,1
<<=,1_SP,(,1
|=,1_SP,(,2
HexInteger,1_SP,>,1
>,1_SP,(,1
<<,1_SP,(,1
),1_SP,String,1
DecimalFloatingPoint,1_SP,Comment,4
Comment,1_NL,super,2
this,1_SP,?,1
|=,1_SP,DecimalInteger,1
{,1_NL_2_DD,while,1
Identifier,1_NL_4_ID,>=,2
Null,1_SP,Comment,1
>,1_SP,-,1
),1_NL,int,4
Identifier,1_NL,boolean,3
{,1_NL_2_ID,double,2
{,0_SP,(,2
++,0_SP,},1
&&,1_SP,boolean,1
class,1_SP,==,3
&&,1_SP,void,1
void,0_SP,.,1
;,5_SP,Comment,2
Comment,1_NL,||,4
;,3_SP,Comment,1
),4_SP,Comment,1
DecimalInteger,1_NL,&&,2
Comment,0_SP,;,1
:,1_NL_2_ID,int,1
Comment,0_SP,",",4
-=,1_SP,(,1
>=,1_SP,this,1
>,1_SP,this,1
Null,1_NL,&&,2
=,1_NL_4_ID,{,1
;,1_NL_4_DD,static,1
(,1_NL,Identifier,2
",",1_NL_2_DD,},1
:,1_NL,while,1
;,1_NL_4_DD,switch,1
case,1_SP,-,1
;,2_NL,char,1
String,1_NL,||,2
{,1_NL_2_DD,continue,1
:,1_NL_2_ID,while,1
HexInteger,1_NL_4_ID,||,2
HexInteger,1_NL,||,2
HexInteger,1_SP,&&,2
Identifier,1_NL,||,2
Comment,1_NL,;,1
Comment,2_NL,this,1
),1_NL_4_DD,public,1
HexInteger,1_SP,Comment,1
},1_NL,new,1
),1_SP,public,5
float,0_SP,),23
final,1_SP,float,5
",",1_NL,float,1
private,1_SP,float,4
Identifier,1_SP,int,17
Identifier,1_SP,void,12
DecimalInteger,1_NL_4_ID,&&,1
",",1_NL_21_ID,int,1
{,1_NL_19_DD,Comment,1
:,1_NL_2_ID,Annotation,1
),1_SP,static,2
;,1_NL,volatile,1
Comment,1_NL_4_ID,.,4
{,1_NL_2_DD,long,2
:,1_NL_2_ID,switch,1
:,2_SP,Comment,1
Comment,1_NL,case,3
>,1_NL_4_ID,implements,1
<=,1_SP,this,1
;,2_NL,float,1
DecimalFloatingPoint,1_SP,-,2
Identifier,2_SP,=,2
-,0_SP,(,1
{,1_NL_3_ID,Comment,1
;,1_NL_3_DD,},1
Comment,1_NL,float,3
;,1_NL_4_DD,float,5
Comment,1_NL_4_ID,&&,1
},2_NL_1_DD,static,1
),2_SP,{,1
{,1_NL_3_ID,int,1
},1_NL,default,1
{,1_NL_2_ID,float,1
>=,1_SP,DecimalFloatingPoint,1
[,0_SP,new,2
Comment,1_NL_4_DD,.,1
",",1_NL_8_ID,this,4
;,1_NL_8_DD,this,8
;,2_NL_8_DD,int,2
Comment,1_NL_50_ID,Comment,2
Comment,1_NL_50_DD,Identifier,1
Comment,2_NL,class,1
